Date,Open,High,Low,Close,Adj Close,Volume
2015-05-26,1302.500000,1311.625000,1294.449951,1304.425049,1085.954956,1961740
2015-05-27,1304.000000,1316.574951,1296.000000,1307.625000,1088.619263,1620690
2015-05-28,1301.949951,1311.500000,1291.125000,1304.750000,1086.225708,2763608
2015-05-29,1308.500000,1324.300049,1298.625000,1305.150024,1086.558838,4423532
2015-06-01,1304.724976,1323.550049,1304.175049,1308.875000,1089.659790,882264
2015-06-02,1308.000000,1315.000000,1295.250000,1299.949951,1082.229370,3935820
2015-06-03,1302.000000,1312.800049,1295.250000,1305.449951,1086.807983,1804684
2015-06-04,1308.550049,1311.400024,1294.250000,1302.824951,1084.623413,4131468
2015-06-05,1296.000000,1304.500000,1285.000000,1287.925049,1082.186035,2308534
2015-06-08,1295.000000,1295.000000,1280.824951,1288.724976,1082.858521,1570320
2015-06-09,1292.500000,1295.000000,1275.500000,1280.824951,1076.220337,2578914
2015-06-10,1283.000000,1305.000000,1281.900024,1300.375000,1092.647461,2763350
2015-06-11,1302.750000,1306.500000,1278.375000,1285.650024,1080.274536,1847336
2015-06-12,1285.949951,1294.474976,1238.400024,1252.900024,1052.756714,2571456
2015-06-15,1252.650024,1260.224976,1240.500000,1252.400024,1052.336182,2525176
2015-06-16,1250.000000,1259.650024,1247.224976,1256.000000,1055.361328,1267396
2015-06-17,1260.500000,1264.574951,1250.900024,1256.900024,1056.117188,1975720
2015-06-18,1257.500000,1273.150024,1254.000000,1265.025024,1062.944946,2165046
2015-06-19,1267.500000,1277.500000,1263.550049,1274.775024,1071.136963,1999610
2015-06-22,1273.500000,1300.000000,1273.500000,1295.750000,1088.761230,1102002
2015-06-23,1300.000000,1304.000000,1283.599976,1287.300049,1081.661377,898318
2015-06-24,1290.000000,1293.949951,1279.425049,1285.150024,1079.854614,1170246
2015-06-25,1281.000000,1286.500000,1272.074951,1275.000000,1071.326172,1930992
2015-06-26,1275.099976,1298.175049,1275.099976,1296.400024,1089.307251,1290102
2015-06-29,1286.000000,1302.000000,1271.699951,1296.449951,1089.349487,1372756
2015-06-30,1292.500000,1294.375000,1270.000000,1275.474976,1071.725342,1549952
2015-07-01,1281.949951,1304.000000,1278.375000,1296.550049,1089.433472,1279708
2015-07-02,1300.000000,1301.474976,1285.525024,1288.875000,1082.984497,1445880
2015-07-03,1286.525024,1305.000000,1285.000000,1301.949951,1093.971069,963470
2015-07-06,1290.150024,1322.500000,1290.150024,1316.650024,1106.322754,1182338
2015-07-07,1316.375000,1323.449951,1301.500000,1308.125000,1099.159668,1642836
2015-07-08,1298.974976,1310.849976,1290.250000,1297.550049,1090.273438,2667850
2015-07-09,1297.500000,1299.125000,1253.324951,1261.250000,1059.772461,3934122
2015-07-10,1279.500000,1279.500000,1227.500000,1237.175049,1039.543701,8263654
2015-07-13,1237.699951,1259.300049,1237.699951,1254.775024,1054.331421,2280308
2015-07-14,1255.500000,1257.500000,1245.000000,1249.750000,1050.109619,1703274
2015-07-15,1250.500000,1274.974976,1250.000000,1272.875000,1069.540161,2003660
2015-07-16,1271.849976,1279.425049,1263.300049,1270.099976,1067.208740,1456608
2015-07-17,1273.400024,1285.050049,1271.650024,1282.199951,1077.375977,1070526
2015-07-20,1282.000000,1291.949951,1275.949951,1289.574951,1085.901855,853786
2015-07-21,1288.000000,1300.175049,1277.550049,1280.699951,1078.428223,1274500
2015-07-22,1280.500000,1284.500000,1260.525024,1264.025024,1064.387451,1320628
2015-07-23,1258.750000,1268.925049,1241.500000,1244.300049,1047.777710,1496780
2015-07-24,1248.750000,1258.250000,1246.050049,1252.574951,1054.745117,1574972
2015-07-27,1244.000000,1252.500000,1240.574951,1248.525024,1051.334961,2003738
2015-07-28,1249.750000,1259.500000,1246.074951,1251.025024,1053.440063,1891188
2015-07-29,1255.500000,1257.525024,1241.750000,1253.375000,1055.419189,2413318
2015-07-30,1258.025024,1258.400024,1236.400024,1240.324951,1044.430176,2770574
2015-07-31,1244.949951,1259.500000,1243.500000,1255.375000,1057.103149,1963776
2015-08-03,1251.699951,1262.500000,1250.449951,1254.800049,1056.619507,1179324
2015-08-04,1255.199951,1261.500000,1243.000000,1254.449951,1056.324463,2342692
2015-08-05,1260.000000,1275.000000,1255.500000,1273.574951,1072.428955,988994
2015-08-06,1282.500000,1291.500000,1275.050049,1286.650024,1083.438965,2211366
2015-08-07,1286.500000,1286.500000,1273.500000,1276.025024,1074.491821,1188506
2015-08-10,1286.000000,1294.500000,1278.300049,1286.050049,1082.933716,1431182
2015-08-11,1289.000000,1305.000000,1271.050049,1302.099976,1096.448364,2200306
2015-08-12,1301.550049,1345.699951,1301.000000,1335.849976,1124.868042,3479784
2015-08-13,1335.000000,1342.000000,1278.000000,1317.800049,1109.668945,1406426
2015-08-14,1319.000000,1359.675049,1318.550049,1351.599976,1138.130859,2293964
2015-08-17,1345.050049,1348.400024,1327.500000,1342.375000,1130.362671,773644
2015-08-18,1353.449951,1374.949951,1345.000000,1370.449951,1154.003296,1916926
2015-08-19,1375.000000,1376.425049,1360.949951,1366.800049,1150.929810,1690070
2015-08-20,1372.500000,1372.500000,1336.000000,1343.425049,1131.246704,2349298
2015-08-21,1356.000000,1364.949951,1327.550049,1338.074951,1126.741943,3536080
2015-08-24,1319.500000,1322.500000,1284.550049,1289.324951,1085.691040,4692344
2015-08-25,1293.949951,1311.000000,1267.750000,1283.574951,1080.849121,3925800
2015-08-26,1279.025024,1319.500000,1255.974976,1288.375000,1084.891357,3216158
